publish_time,text,predicted_class
2024-10-04,五老峰和三叠潭限流了去不了啦！ 含鄱口不看日出也好看呀！#国庆旅游# 九江·含鄱口,neg
2024-10-03,想问一下天津的同志们，这个饮料真的是你们童年的记忆吗？#微博旅行家##国庆旅游##天津# 天津·意风区历史文化展览馆,pos
2024-09-28,购物碎片记录Vlog｜好物分享｜国庆日本游薅羊毛小Tips 来噜！假期快乐！ 见评论有🎁 #SuJi in Japan# #日本必买# #国庆旅游# #日本旅游# 葉SuJi的微博视频,neg
2024-09-29,国庆去哪儿玩？五岳探秘：泰山、华山、嵩山、衡山、恒山，哪个值得去？#五岳##国庆旅游# 三维地图科普局的微博视频,pos
2024-10-01,准备去北京的存下吧！#国庆旅游#,pos
2024-09-30,"赶在日落前拍到了绝美晚霞。对比一下手机和相机拍的。Mix Flip VS Canon EOS R6。对于非专业选手来说，目前手机已经能满足绝大多数摄影需求了！智能手机在影像上的不断突破，降低了摄影门槛，让更多非专业的普通老百姓能够享受到摄影带来的乐趣，更愿意去记录美好生活！
国庆快乐
#国庆旅游##手机摄影# 印度尼西亚·库塔海滩",pos
2024-10-04,"【#热门景点10月5日前门票都已售罄#，#游客错峰游成了高峰游#】10月4日，2024年国庆假期过半，中国游客涌向了各大热门旅游目的地和景区。近日，多家在线旅游平台发布的报告显示，假期中间“错峰”出行的旅游产品价格比假期前两日低上许多。

去哪儿数据显示，10月3日、4日机票价格最低。5日开始返程，价格一路走高，10月7日是价格最高点，10月8日、9日价格回落。酒店方面，10月2日-4日价格处于高位，5日起酒店价格逐渐回落。

不过，价格便宜，人却不少。澎湃新闻看到，在社交平台上，各地旅游景点都有游客发布“实况”内容试图“劝退”后来者。

有网友表示，原以为10月3日、4日是“错峰”，谁知道“错”了一个“高峰”，景区景点人满为患不说，还有不少旅游景点的门票早已售罄。多家热门景区10月4日发布公告称，10月5日甚至10月6日的门票也已售罄了。

此外，今年国庆假期“奔县”成了新流行。携程数据显示，国庆假期前三天，45%的“奔县”旅游者年龄集中在“90后”和“00后”。来自上海、北京、成都、广州、杭州、深圳等一二线大城市的年轻人最喜爱“奔县”游。假期前三天九寨沟、安吉、香格里拉、平潭、都江堰、景洪等县级市和县城在国庆首日都分别实现订单109%、86%、74%、67%、51%、50%的增长。
#年轻人错峰游整顿黄金周#网页链接",pos
2024-09-29,国庆免费旅游直通车！浦口这条线路不得不玩！ #总要去趟南京浦口吧##国庆旅游##南京旅游攻略##发现南京# 浦口发布的微博视频,pos
2024-10-02,照片当下不发出来 过几天就没有想发的欲望了 分享实时近照📷#国庆旅游##人像摄影# 苏州,neg
2024-10-05,"好顶的山西伴手礼！和爱熬夜的闺蜜一起养生

国庆跟着悟空来山西旅游，偷学了山西人的养生秘籍！
就是这个山西老陈醋泡的黑豆！
✅配料表干净，只有山西老陈醋、黑豆和蜂蜜调味。口感酸脆爽口，吃着吃着就离不开了！
很多人不知道，山西醋≠山西老陈醋，GB/T 19777标准的山西老陈醋，富含总黄酮和川芎嗪两大特征成分，养生的都懂，营养杠杠滴！特别适合熬夜的打工人放办公室拌饭吃！
假期旅游回去不用硬抗，下单可直接邮寄到家~📦
礼盒里2盒，共6罐，闺蜜3瓶，自留3瓶，和爱熬夜的小姐妹一起养生！
#蓝朋友秋日健康季# #跟着悟空游山西# #国庆旅游#",pos
2024-10-02,从百草园到三味书屋。与课本奔现是怎样一种感受（迅哥儿家的宅子真豪华阔气）#国庆旅游# 绍兴·鲁迅故里,pos
2024-10-02,十一小长假，草原小萌新来报道啦！#秋游季##国庆旅游#紫清湖野生动物世界 南京·紫清湖野生动物世界,pos
2024-10-03,"#国庆旅游#
多宝发来了黄山照片
天气不错 ，电话手表倒也拍出来松风吹茵露、翠湿云袅袅的感觉
国庆前一天，我给多宝做思想工作：知道妈妈最近为什么常批评你么？
多宝：你工作太累了？
我，不是，你要找找你的原因
多宝：我的爸爸惹你生气了？（把“ 我的”两个字，咬得很重）
我：五年级了，应该知道学习是自己的事情，但你天天都要妈妈催，每件事都要催
多宝：但是，你催我，我就完成了嘛。而是，你催我，我都没生气
好吧，你进步神速而是大度
国庆快乐！",pos
2024-10-05,我和我的朋友说好的旅游······· 结果在家5日游 #绝味鸭脖# #国庆旅游# #国庆节#,pos
2024-09-30,重庆长江索道数字影院开始试运行，可一站式打卡近30个山城知名景点#国庆旅游# #磁器口古镇# 视频来源：文化之旅沙坪坝 重庆市文化旅游委的微博视频,pos
2024-10-04,开车七小时疲惫不堪，但遇见皖南美景的那一刻，瞬间觉得特别值得…#国庆旅游# 黄山·黟县 陈峰老师的微博视频,pos
2024-10-05,还活着宁波·东海云顶#东海云顶##国庆节##国庆旅游# 宁波·东海云顶 叁柴Ming的微博视频,pos
2024-10-05,超高人气的#重庆##国庆旅游# 就飞一会会的微博视频,neu
2024-10-05,📍廣州｜来广州当然要吃早茶啦😝 #记录生活##国庆旅游# 广州,pos
2024-10-05,国庆旅游日记，集齐青岛的的日出日落#国庆旅游##青岛##火烧云#,pos
2024-10-05,#国庆旅游# 水流众，慢无声。人生如梦幻泡影，但过程执着又期待。,pos
2024-10-04,金巴兰的日落被云挡住了，好在晚霞晕染了大片天空🌇#国庆旅游##摄影##晚霞# 印度尼西亚·Rock Bar,neu
2024-10-05,#南岸文旅# #国庆旅游# #文明旅游#文明旅游 | 文明是最美的风景 (via：文化和旅游部）更多内容请点击链接：网页链接,pos
2024-10-05,#国庆旅游#,neu
2024-10-05,国庆武功山登顶#国庆旅游##五星红旗#,neu
2024-10-05,西安安逸，下盘还来#国庆旅游# 成都·成都东站西广场,pos
2024-10-05,"昆山挂壁公路位于景区内昆山村，是全国七条挂壁公路中最窄、最险、最奇、最美的一条，全长7.1公里。昆山挂壁公路是在一处上下500余米的悬崖绝壁上开凿的公路。

由于条件限制，隧道内道路较窄，仅容一辆小型车单向行驶。一字排开的156个“天窗”上罩危壁，下临深渊，远观像火车爬山，让人惊魂 魄，叹为观止。是自驾爱好者挑战极限的户外天堂。#热门视频##挂壁公路##国庆旅游# 剋剋啊的微博视频",pos
2024-10-05,"国庆假期余额已过半,小伙伴们行程还没安排上的抓紧时间,到#爱情圣地青龙峡 赴一场国庆假期欢乐之旅~!#国庆假期##国庆旅游# 焦作青龙峡峰林峡的微博视频",pos
2024-10-05,北海南宁旅游#亲子旅游##大海##国庆旅游# 南宁 北海，阳光☀️沙滩🏖️海浪🌊，充实的国庆之旅 北海,pos
2024-10-04,五老峰和三叠潭限流了去不了啦！ 含鄱口不看日出也好看呀！#国庆旅游# 九江·含鄱口,neg
2024-10-05,#生活手记##国庆旅游# 舟山➡️绍兴,neu
2024-10-05,谁懂！！第一次去动物园像刘姥姥进大观园，书里的动物现实也是见到了，此刻教育也完成闭环！！辛苦朋友被我拉着一直跑了，实在是太激动了～～#国庆旅游##成都动物园#,pos
2024-10-03,想问一下天津的同志们，这个饮料真的是你们童年的记忆吗？#微博旅行家##国庆旅游##天津# 天津·意风区历史文化展览馆,pos
2024-10-05,南京旅游#南京旅游##国庆旅游# 国庆南京应该有一亿人，再见 Yanglc_o的微博视频,neu
2024-10-04,体育比赛云集国庆！赛事旅游热潮兴起#体育赛事# #国庆旅游# #旅游# 天下篮球快报的微博视频,pos
2024-10-04,今年的国庆打卡中国丝绸博物馆 逛完了时装馆、织造馆、丝路馆 碰上了陕西文物出差杭州的九天阊阖特展 #杭州##国庆旅游##博物馆#,neu
2024-10-04,📍廣州｜凑个热闹 挤趟人海 #记录生活##国庆旅游# 广州·广州圣心大教堂,neu
2024-10-04,已经数不过来这是这些天看到的第几百个的交警了！14亿的一半都在江西吗？#国庆旅游##自驾游#,neg
2024-10-04,#爬黄山# 到底有多少人来黄山了？ #国庆旅游# #旅游# 追综VIP用户的微博视频,neu
2024-10-04,鱼味不是关键，人头才是看点。#国庆旅游#,neg
2024-10-04,开车七小时疲惫不堪，但遇见皖南美景的那一刻，瞬间觉得特别值得…#国庆旅游# 黄山·黟县 陈峰老师的微博视频,pos
2024-10-04,#温州风光好# 秋意渐浓美景如画，饱览河山游人如织。十一假期以来，我市全域旅游建设持续发力，好戏连台、精彩迭出，文旅消费潜力得到充分释放。截至10月4日12点，全市正常营业80家A级旅游景区共接待游客291.76万人次，按可比口径同比增长11.28%；实现A级景区旅游营业收入4870.34万元，按可比口径同比增长12.18%。温州市2024年国庆节假日前四天旅游市场情况综述#国庆旅游##温州旅游# @浙江文旅 @诗画浙江文旅资讯 温州,pos
2024-10-04,阳泉 自驾开封！#国庆旅游# 开封,neu
2024-10-04,📝逛了海珠湖吃了早茶然后打包收藏了好久的店铺的芝士蛋糕回家品尝的一天#今日日常##国庆旅游#,pos
2024-10-04,南昌真的好多人！国庆太挤了！！！1号的vlog拖到现在才发#南昌##国庆旅游##原创vlog# 给你一个小耳巴的微博视频,pos
2024-10-04,早知道就飞10公里了🙃#飞行##国庆旅游# 青岛,neu
2024-10-04,#国庆旅游# 西樵山 感觉这张拍的挺不错！,pos
2024-10-04,国庆旅游手记#国庆旅游#,neu
2024-10-04,重是重逢的重，庆是庆幸的庆🍺 遗憾的是小萝卜头还是没有看到（人实在太多太多，小孩哥感冒排不了太长时间的对） #国庆旅游# 重庆,pos
2024-10-04,打卡长沙～岳阳～#国庆旅游##吃喝玩乐##国庆旅游记#,neu
2024-10-04,国庆方向旅游之芒市 勐焕银塔 远看还是挺好看的 国庆还是很多人 主打一个拍完就跑 芒市的东西很好吃！！！ #小众宝藏旅行地##国庆旅游# 德宏·勐焕银塔,pos
2024-10-04,"【国庆黄金周：东莲花美食街美食受游客追捧】2024年10月1日-10月7日10:00-18:00，巍山县东莲花美食文化旅游创业园“美食驿站,创意国庆”系列活动
在东莲花美食街举行。特色美食活动:除园区日常经营产品、美食外，增加当地特色美食，为游客提供丰富多样的美食选择，满足不同口味的需求。传统美食品尝及制作体验。游客可以在制作区内亲手制作油香，制作后的成品游客带走，感受当地传统美食制作的乐趣。油香茶体验：游客可观看(也可自己操作)油香茶制作并品尝。文创产品、手工制作亲子体验。创意竹编、精美手绘、毛线戳戳画等各类创意手工(4)鼓楼自助K歌大舞台游客可自行到鼓楼自助K歌。穿古装、汉服入园者，即可获得小吃券1张。通过活动的举办，有效吸引游客的参与。#国庆旅游#
董有喆 杨继稳 报道",pos
2024-10-04,好好好，被国庆旅游出行一整个拿捏住了🤏#国庆旅游#,neu
2024-10-04,国庆又出去走走#国庆旅游##浙江·乌镇#,neu
2024-10-04,榆林 ✨ #国庆旅游# 📍 半城烟火半城砖 半城资源半城史 榆林一座不容错过的宝藏小城,neu
2024-10-04,国庆股市热胜过旅游胜，大A休市期间，港股继续大涨，节前不满仓就要踏空的感觉。#国庆旅游# 南京·黄埔大酒店,neg
2024-10-04,反向#国庆旅游# 🍶🀄️ 泸州,neu
2024-10-04,加班第二天，状态良好#国庆##国庆旅游#,pos
2024-10-04,萨嘎（日喀则）- 塔钦（阿里） 仲巴五彩沙漠、公珠措：进入阿里@4580M #西藏旅游##国庆旅游##阿里# 阿里,pos
2024-10-04,南昌一日游#国庆人从众式旅游# 实在挤得罩不住，小推车都直接收了拎着走的#国庆旅游# Wuli小高妹妹呀的微博视频,pos
2024-10-04,今年国庆来沈阳旅游的人是真的多#国庆旅游# 沈阳,pos
2024-10-04,#生活手记#风景照#国庆##国庆旅游# 五岳之一的嵩山我来啦 郑州·嵩山,neu
2024-10-04,你说你想看看你崇拜的乐队的家乡 #国庆旅游# 石家庄 Y300i的微博视频,neu
2024-10-04,旅游#旅游推荐# 国庆游#国庆旅游##旅游超话# 阿坝,pos
2024-10-04,🌈偷感很重_[让我看看] 携我的男保镖们假期快乐～🦷美白牙齿请找我们。 #国庆节##国庆旅游##ootd# 泰国·BangkokThailand,pos
2024-10-04,"#南岸文旅# #重庆旅游攻略# #国庆旅游# 如果你想观影娱乐两不误
这份南岸国庆「观影×购物指南」一定要收藏
让你在假期欣赏国庆档电影大片的同时
又能享受娱乐购物带来的快乐
图源：M³电影城堡、重庆协信星光时代广场、重庆万达影城、重庆南坪万达广场、华谊兄弟影城、百联南岸上海城购物中心,更多内容请点击链接：（粉丝福利）购在南岸丨这份国庆「观影×购物指南」请收下！乐享都市生活",pos
2024-10-04,这个国庆，我在小九寨，你在哪里啊？ #国庆旅游# #微博旅行家# 池州·石台县牯牛降景区,neu
2024-10-04,托朋友圈的福 每天都在新疆各个州云旅游 #国庆旅游#,neu
2024-10-04,国庆不出去玩，在家刷朋友圈， 都可以看遍各个城市地方的风景#在家看遍全世界##国庆小众旅游城市##国庆旅游#,pos
2024-10-04,潮汕文旅能不能干点活 一出站打的司机嫌3.8km近拒载 我们硬生生走了40分钟才到酒店 真服了#潮州##汕头##国庆旅游#,neu
2024-10-04,曲靖消防消防无小事，游客共参与#古建筑消防安全##会泽古城##国庆旅游#（会泽大队供稿） @云南消防 曲靖消防的微博视频,pos
2024-10-04,#微博旅行家# 带着微博去旅行#国庆旅游# //@淝河恋:转发微博,neu
2024-10-04,#国庆旅游##生活手记##舟山旅游# 国庆假期选择舟山真的很明智，没有拥挤的人群，有的是台风过后的清爽，正当季美味的海鲜，好惬意,pos
2024-10-02,照片当下不发出来 过几天就没有想发的欲望了 分享实时近照📷#国庆旅游##人像摄影# 苏州,neg
2024-10-03,杭州City Walk 人少的大兜路文化街，适合滨河沿街散步，闲逛小市集#国庆旅游# #杭州# 绿洲 杭州·京杭大运河杭州景区,pos
2024-10-03,#扬州# 10月下扬州DAY2(10.3)酒店旁边刚好遇到表演🔥壶的#国庆旅游#,pos
2024-10-03,不到黄石寨，枉到张家界#我们##国庆旅游#张家界·黄石寨 张家界·黄石寨,neg
2024-10-03,今天去了good寺~#国庆旅游# 武汉,neu
2024-10-03,"【国庆游南京城是什么体验】

😎宝子们，国庆游南京城超有料！

国庆期间的南京，那真是人从众🧐。感觉全国人民都来啦，不过这也说明南京魅力大呀。

南京可是座充满历史韵味的古城，就像一个装满故事的老宝箱。
夫子庙一带，秦淮河畔的古建筑在灯光下美轮美奂，还有好多文创手办，简直走不动道。
中山陵庄严肃穆，台阶爬得人腿软，但那种历史的厚重感超震撼。

还有南京美食，鸭血粉丝汤鲜香爽滑，一口下去超满足，但排队是巨难排，人超级多
南京的梧桐树大道也是一绝，走在下面像走进绿色的童话世界（ps为了拍照我凌晨5.30就来抢机位了）但是南京真的是一座很有风韵的城市🌆国庆游南京，人多也值啦！😜
#国庆旅游#",pos
2024-10-03,大漂亮旧金山华人举行庆祝伟大的祖国 国庆75周年大游X，很多当地美国人也跟着一起和谐的欢庆，也不管是什么节日，只要开心快乐就好，越文明越包容，越愚昧越排外！#国庆 ##国庆旅游#带着微博去旅行 文明与野蛮4的快手视频,pos
2024-10-03,肯定没有人能空手离开景德镇！ #景德镇##国庆旅游#,pos
2024-10-03,#国庆旅游##旅途美食##红菇豆腐汤# 这道红菇豆腐汤口碑很好，大家都赞不绝口，姥姥也必须了解一下做法。 认真仔细观察下有以下食材：老豆腐、红菇、排骨、目鱼、蛏干等。,pos
2024-10-03,国庆旅游就是来看人人人人人 #国庆旅游# 西安·秦始皇兵马俑博物馆,neu
2024-10-03,#武义旅游# 金华武义#国庆旅游# 花田美地度假区,neu
2024-10-03,“凑个热闹 挤趟人海” #国庆##人山人海太热闹了##国庆旅游#,pos
2024-10-03,#2024右腿手机随拍# 国庆假期城子村一日游#国庆旅游# 右腿大叔的微博视频,neu
2024-10-03,国旗耀北疆之饶河县 ，黑龙江 迎国庆，饶河的街边已经挂满的五星红旗，此刻街头巷尾也早已飘满红色。在国庆节这个特殊的日子里，我们手举鲜艳的红旗，怀着满腔的热忱，踏遍了城市的每一个角落。#v眼看龙江##国庆旅游##微博旅行家#带着微博去旅行 黑龙江国防教育的快手视频,pos
2024-10-03,柳州很好，下次我再来#生活手记##柳州##国庆旅游# 佛山,pos
2024-10-03,来一场说走就走的旅行——city walk 兰州#国庆旅游# Z_仰望星空的微博视频,neu
2024-10-03,国庆期间深圳竟然能在长假旅游界排上名#国庆节快乐##深圳##国庆旅游#,pos
2024-10-03,舒服的天气#国庆旅游# 长沙,pos
2024-10-03,#霸王茶姬#成都逛街，刚补的身份证银行卡全在里面，还好掉霸王茶姬店里了，找了四五个店，还好没丢#国庆旅游#,neu
2024-10-03,#国庆旅游##红木家具城# 今天上午爷爷奶奶带着孩子们看望九十几岁的太奶奶，姥姥和姥爷就去红木家具城参观。,pos
2024-10-03,总统府，人流量比暑假多得多#国庆旅游##总统府#南京·总统府 南京·总统府,neu
2024-10-03,"#国庆旅游##我的旅行日记#
到了温村快睡觉了才想起来今天没发微博

十一个半小时的飞行没啥感觉，吃了个正餐，睡醒吃早餐饱饱的就到了，菲航给每个人发了菜单，可以点餐，还有白、红葡萄酒的，本想装下13的但一看到给我倒入纸杯里那一刻完全没心情装了，喝酒没有高脚杯装酒是不完美的

丝滑入境，有申报食物，被问是什么？想不起来中草药是什么单词，直接回复了Soup Chinese Herbs，海关黑人小姐姐一副我懂了的眼神对我笑了下，直接通过！

已经凌晨12点半了，倒个时差，睡不着也要先睡",pos
2024-10-03,#黄山# 多宝不停给我发照片。 多宝想去的是九华山，因为九华山是地藏菩萨道场，西游记里，谛听是地藏菩萨的神兽，可以通过听来辨认世间万物 ，谛听曾出现在真假美猴王那一节，所以多宝非常想去看看谛听。 少年爱西游，对西游记很多细节记得非常清楚。 不过，后面还是选择了黄山。 #国庆旅游#,pos
2024-10-03,"国庆假期去哪玩？
不要再去人挤人啦！
湖南小众旅游目的地安仁
山清水秀，人少景美还好玩！
这里有一条安仁2天自驾游路线，赶紧收藏吧～

Day1️⃣：出发-湘众药业一熊峰山国家森林公园—猴昙仙—金紫仙
Day2️⃣：豪峰茶庄—风仙谷—渡口丹霞景区—稻田公园一月轮岩一神乐生态庄园

📷必玩景点👇
✔️湘众药业：第一站从安仁县城中心的湘众药业出发，这里是了解中医药文化的必游景点。

✔️乙熊峰山国家森林公园：离安仁县城约10公里车程，山清水秀，绿意盎然🌳

✔️猴昙仙：景区内奇峰怪石、形态各异，宛若活灵活现的仙猴🐒，故而得名！

✔️金紫仙：距离猴昙仙约20公里，是安仁县境内海拔最高的山峰，在这里登高望远，一览安仁的山水风光。

✔️豪峰茶庄：茶庄风光秀丽怡人，在这里不仅可以品尝安仁茶，还能体验采茶、炒茶的乐趣。

✔️风仙谷：山高岭峻、草木繁茂、流水潺潺，被誉为“湖南九寨沟”，风光旖旎迷人😍

✔️渡口丹霞景区：独特的丹霞地貌，色彩斑驳的山体镶嵌在大地上，宛如绚丽多彩的画卷。

✔️稻田公园：连绵不绝的稻田壮观无比，除了稻田，公园有茶园、果园等多种生态园，非常适合带小朋友来体验农耕文化。

✔️月轮岩：始建于明崇祯年间，被誉为“中华丹霞第一穴”，独特的自然地貌令人赞叹不已！

✔️神乐生态庄园
集现代农业、乡村休闲旅游、绿色健康养生、科普教育为主题的休闲旅游胜地。

无论是壮丽的自然风光，还是休闲的乡村生活，都令人感到十分惬意，找个时间，带上家人朋友去安仁吧！

#国庆节##带着微博去旅行##国庆旅游#",pos
2024-10-03,南京暴走第二天#国庆旅游#,neu
2024-10-03,这个国庆假期，水泊梁山期待和你的相聚!#文化中国行#梁山#国庆旅游# 梁山县融媒体中心的微博视频,pos
2024-10-03,"#和粤小可一起过节#
来到江门，怎么能不去看看开平碉楼呢？
开平碉楼是我们广东的🌟世界文化遗产，也是首个属于华侨文化的世界遗产～

🎈游玩亮点：
1⃣瑞石楼号称“开平第一楼”是中西建筑风格完好结合的典型，是开平现存最高、最美的碉楼
2⃣许多碉楼坐落在广袤的乡村田园之中，在春秋季节，油菜花盛放或稻田一片翠绿时，景色更仿佛一幅宁静而美丽的乡村画卷
3⃣电影《让子弹飞》《一代宗师》等都曾在这里拍摄。可以在游玩过程中寻找电影中的场景，感受影视与现实的奇妙结合
4⃣周边景点丰富，美食多样，赤坎古镇、立园、那琴半岛、南楼纪念公园等等

🕘时间安排：建议安排一天时间游玩
🎫门票：自力村78元/人。立园100元/人。
🚇交通：- 自驾：导航自力村碉楼群、立园等或乘坐公共交通前往到达。

#广东太古爽动南粤# #国庆旅游#

（图源网络，侵删）",pos
2024-10-03,🇨🇳国庆特种兵式旅游 不是在景点 就是在去景点的路上🔆 ⛺️别问我去哪儿 问就是“已出发，在路上”🤗#国庆旅游# 咸阳·咸阳市高新一中 咪柚弱水三千的微博视频,neu
2024-10-03,"西塘古镇的吃相越来越难看，yue～～
🤮你见过把检票口放置在桥洞下的吗？西塘古镇做到了
这里原本是一个桥洞❗️❗️❗️
供工作人员和村民停放助动车、自行车的，同时也是周边村民和常住居民可以从下面桥洞穿过，到五姑娘公园散散步，或者到原先的检票口再进入古镇主景区，现在把检票口设置在桥洞里，直接堵住了去公园的路，真是太恶心了。
还有两扇小门，以前都是打开可供居民通行到镇上的，现在也总是铁将军把门，在人为设置障碍，与民争利，为难老百姓这件事上，西塘镇政府是有点子水平在身上的
#国庆旅游##西塘# 嘉兴·西塘古镇景区",pos
2024-10-03,巍宝山上游人如织#国庆旅游#,pos
2024-10-03,#国庆旅游#狭窄的进入景区的乡道，国庆期间车流量增大，五公里堵车一小时，就有素质极低的人自作聪明，不遵守规则，逆向行驶，造成原本堵塞的路更堵了（这只是众多逆行车之一） 榆林·波浪谷火焰丹霞区 用户7331783418的微博视频,neg
2024-10-03,【国庆小长假，拒绝宅家！快来自贡市盐业历史博物馆，一起“国韵悠长·庆华诞”！】#自贡旅游##国庆旅游#110月1日起，六大主题活动嗨翻天，文创产品萌化心！🖌️“笔尖寻迹 盐场记忆”，70幅钢笔画带你穿越回盐都辉煌岁月。👗下午2点，西秦会馆汉服诗词大会，古典韵味十足！🗣️馆长&专家&小小讲解员齐上阵，带你解锁盐的秘密！🎨10月2-3日，手绘团扇DIY，动手又动脑！🎵10月7日，“古风琴韵”古琴雅集，聆听千年弦音。👘更有汉服体验馆等你来撩，一秒穿越，与历史浪漫邂逅！快来打卡，不负好时光！🏃♂️💨（来源：自贡网）,pos
2024-10-03,出游前：冲冲冲！ 出游后：人从众 #国庆旅游# 衡阳·保卫里,pos
2024-10-03,国庆来上海的二次元千万不要错过静安大悦城！超多快闪店，谷子很全！#二次元##国庆旅游##吃谷# 中新社上海的微博视频,pos
2024-10-03,"#国庆旅游#
多宝发来了黄山照片
天气不错 ，电话手表倒也拍出来松风吹茵露、翠湿云袅袅的感觉
国庆前一天，我给多宝做思想工作：知道妈妈最近为什么常批评你么？
多宝：你工作太累了？
我，不是，你要找找你的原因
多宝：我的爸爸惹你生气了？（把“ 我的”两个字，咬得很重）
我：五年级了，应该知道学习是自己的事情，但你天天都要妈妈催，每件事都要催
多宝：但是，你催我，我就完成了嘛。而是，你催我，我都没生气
好吧，你进步神速而是大度
国庆快乐！",pos
2024-10-03,angelababy#国庆节##国庆旅游# 去红旗渠啦@angelababy 安阳·红旗渠风景区,neu
2024-10-03,#国庆旅游# 无锡，我来啦～✌,neu
2024-10-03,"你好！这里是扬州！
李白口中的“故人西辞黄鹤楼，烟花三月下扬州”；杜牧心中的“二十四桥明月夜，玉人何处教吹箫”；杜甫梦中的“十年一觉扬州梦，赢得青楼薄幸名”……
🈶建城2510周年的文化古城扬州欢迎您！
#与祖国同行##国庆旅游#
@扬州大古是吃货 @赵军摄影 @庄志明律师 @何春银微想 @扬州邗上老人 @FM985扬州新闻广播 @维扬书生微博 @夏日海湾 @黄鹏Radio",pos
2024-10-03,国庆假期来南京游玩了几天，真是人山人海，到处都是人。#国庆旅游# #南京之旅# #南京# 脑洞科普实验室的微博视频,pos
